window,n_components,n_regimes,regime,count,fraction,explained_variance_sum
2019-01-01_2019-12-31,6,3,0,553,0.37876712328767126,0.6695621609687805
2019-01-01_2019-12-31,6,3,1,549,0.37602739726027395,0.6695621609687805
2019-01-01_2019-12-31,6,3,2,358,0.2452054794520548,0.6695621609687805
2019-01-01_2019-12-31,6,4,0,331,0.2267123287671233,0.6695621609687805
2019-01-01_2019-12-31,6,4,1,516,0.35342465753424657,0.6695621609687805
2019-01-01_2019-12-31,6,4,2,288,0.19726027397260273,0.6695621609687805
2019-01-01_2019-12-31,6,4,3,325,0.2226027397260274,0.6695621609687805
2019-01-01_2019-12-31,6,5,0,442,0.30273972602739724,0.6695621609687805
2019-01-01_2019-12-31,6,5,1,208,0.14246575342465753,0.6695621609687805
2019-01-01_2019-12-31,6,5,2,273,0.18698630136986302,0.6695621609687805
2019-01-01_2019-12-31,6,5,3,218,0.14931506849315068,0.6695621609687805
2019-01-01_2019-12-31,6,5,4,319,0.2184931506849315,0.6695621609687805
2019-01-01_2019-12-31,6,6,0,235,0.16095890410958905,0.6695621609687805
2019-01-01_2019-12-31,6,6,1,271,0.18561643835616437,0.6695621609687805
2019-01-01_2019-12-31,6,6,2,194,0.13287671232876713,0.6695621609687805
2019-01-01_2019-12-31,6,6,3,201,0.13767123287671232,0.6695621609687805
2019-01-01_2019-12-31,6,6,4,233,0.15958904109589042,0.6695621609687805
2019-01-01_2019-12-31,6,6,5,326,0.2232876712328767,0.6695621609687805
2019-01-01_2019-12-31,8,3,0,555,0.3801369863013699,0.7030010223388672
2019-01-01_2019-12-31,8,3,1,540,0.3698630136986301,0.7030010223388672
2019-01-01_2019-12-31,8,3,2,365,0.25,0.7030010223388672
2019-01-01_2019-12-31,8,4,0,334,0.22876712328767124,0.7030010223388672
2019-01-01_2019-12-31,8,4,1,510,0.3493150684931507,0.7030010223388672
2019-01-01_2019-12-31,8,4,2,294,0.20136986301369864,0.7030010223388672
2019-01-01_2019-12-31,8,4,3,322,0.22054794520547946,0.7030010223388672
2019-01-01_2019-12-31,8,5,0,277,0.18972602739726027,0.7030010223388672
2019-01-01_2019-12-31,8,5,1,334,0.22876712328767124,0.7030010223388672
2019-01-01_2019-12-31,8,5,2,317,0.21712328767123287,0.7030010223388672
2019-01-01_2019-12-31,8,5,3,210,0.14383561643835616,0.7030010223388672
2019-01-01_2019-12-31,8,5,4,322,0.22054794520547946,0.7030010223388672
2019-01-01_2019-12-31,8,6,0,261,0.17876712328767122,0.7030010223388672
2019-01-01_2019-12-31,8,6,1,271,0.18561643835616437,0.7030010223388672
2019-01-01_2019-12-31,8,6,2,199,0.1363013698630137,0.7030010223388672
2019-01-01_2019-12-31,8,6,3,204,0.13972602739726028,0.7030010223388672
2019-01-01_2019-12-31,8,6,4,202,0.13835616438356163,0.7030010223388672
2019-01-01_2019-12-31,8,6,5,323,0.22123287671232877,0.7030010223388672
2019-01-01_2019-12-31,10,3,0,552,0.3780821917808219,0.7311134338378906
2019-01-01_2019-12-31,10,3,1,370,0.2534246575342466,0.7311134338378906
2019-01-01_2019-12-31,10,3,2,538,0.3684931506849315,0.7311134338378906
2019-01-01_2019-12-31,10,4,0,259,0.1773972602739726,0.7311134338378906
2019-01-01_2019-12-31,10,4,1,280,0.1917808219178082,0.7311134338378906
2019-01-01_2019-12-31,10,4,2,514,0.35205479452054794,0.7311134338378906
2019-01-01_2019-12-31,10,4,3,407,0.2787671232876712,0.7311134338378906
2019-01-01_2019-12-31,10,5,0,407,0.2787671232876712,0.7311134338378906
2019-01-01_2019-12-31,10,5,1,226,0.1547945205479452,0.7311134338378906
2019-01-01_2019-12-31,10,5,2,201,0.13767123287671232,0.7311134338378906
2019-01-01_2019-12-31,10,5,3,373,0.2554794520547945,0.7311134338378906
2019-01-01_2019-12-31,10,5,4,253,0.17328767123287672,0.7311134338378906
2019-01-01_2019-12-31,10,6,0,266,0.1821917808219178,0.7311134338378906
2019-01-01_2019-12-31,10,6,1,209,0.14315068493150684,0.7311134338378906
2019-01-01_2019-12-31,10,6,2,252,0.1726027397260274,0.7311134338378906
2019-01-01_2019-12-31,10,6,3,325,0.2226027397260274,0.7311134338378906
2019-01-01_2019-12-31,10,6,4,202,0.13835616438356163,0.7311134338378906
2019-01-01_2019-12-31,10,6,5,206,0.1410958904109589,0.7311134338378906
2019-01-01_2019-12-31,12,3,0,350,0.23972602739726026,0.7553736567497253
2019-01-01_2019-12-31,12,3,1,587,0.40205479452054793,0.7553736567497253
2019-01-01_2019-12-31,12,3,2,523,0.3582191780821918,0.7553736567497253
2019-01-01_2019-12-31,12,4,0,281,0.19246575342465752,0.7553736567497253
2019-01-01_2019-12-31,12,4,1,406,0.27808219178082194,0.7553736567497253
2019-01-01_2019-12-31,12,4,2,513,0.35136986301369866,0.7553736567497253
2019-01-01_2019-12-31,12,4,3,260,0.1780821917808219,0.7553736567497253
2019-01-01_2019-12-31,12,5,0,259,0.1773972602739726,0.7553736567497253
2019-01-01_2019-12-31,12,5,1,213,0.14589041095890412,0.7553736567497253
2019-01-01_2019-12-31,12,5,2,406,0.27808219178082194,0.7553736567497253
2019-01-01_2019-12-31,12,5,3,269,0.18424657534246575,0.7553736567497253
2019-01-01_2019-12-31,12,5,4,313,0.21438356164383562,0.7553736567497253
2019-01-01_2019-12-31,12,6,0,213,0.14589041095890412,0.7553736567497253
2019-01-01_2019-12-31,12,6,1,374,0.25616438356164384,0.7553736567497253
2019-01-01_2019-12-31,12,6,2,198,0.13561643835616438,0.7553736567497253
2019-01-01_2019-12-31,12,6,3,146,0.1,0.7553736567497253
2019-01-01_2019-12-31,12,6,4,233,0.15958904109589042,0.7553736567497253
2019-01-01_2019-12-31,12,6,5,296,0.20273972602739726,0.7553736567497253
