tag,bucket,season,start,end,basename,chosen_file,found_count
MAM_2018,season,MAM,2018-03-01,2018-05-31,deterministic_summary.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2018/deterministic/deterministic/deterministic_summary.csv,1
MAM_2018,season,MAM,2018-03-01,2018-05-31,regime_conditioned_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2018/deterministic/deterministic/regime_conditioned_metrics.csv,1
MAM_2018,season,MAM,2018-03-01,2018-05-31,blocking_rmse.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2018/blocking/blocking/blocking_rmse.csv,1
MAM_2018,season,MAM,2018-03-01,2018-05-31,blocking_event_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2018/blocking/blocking/blocking_event_metrics.csv,1
MAM_2018,season,MAM,2018-03-01,2018-05-31,regime_labels.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2018/regimes/regimes/regime_labels.csv,1
JJA_2018,season,JJA,2018-06-01,2018-08-31,deterministic_summary.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2018/deterministic/deterministic/deterministic_summary.csv,1
JJA_2018,season,JJA,2018-06-01,2018-08-31,regime_conditioned_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2018/deterministic/deterministic/regime_conditioned_metrics.csv,1
JJA_2018,season,JJA,2018-06-01,2018-08-31,blocking_rmse.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2018/blocking/blocking/blocking_rmse.csv,1
JJA_2018,season,JJA,2018-06-01,2018-08-31,blocking_event_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2018/blocking/blocking/blocking_event_metrics.csv,1
JJA_2018,season,JJA,2018-06-01,2018-08-31,regime_labels.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2018/regimes/regimes/regime_labels.csv,1
SON_2018,season,SON,2018-09-01,2018-11-30,deterministic_summary.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2018/deterministic/deterministic/deterministic_summary.csv,1
SON_2018,season,SON,2018-09-01,2018-11-30,regime_conditioned_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2018/deterministic/deterministic/regime_conditioned_metrics.csv,1
SON_2018,season,SON,2018-09-01,2018-11-30,blocking_rmse.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2018/blocking/blocking/blocking_rmse.csv,1
SON_2018,season,SON,2018-09-01,2018-11-30,blocking_event_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2018/blocking/blocking/blocking_event_metrics.csv,1
SON_2018,season,SON,2018-09-01,2018-11-30,regime_labels.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2018/regimes/regimes/regime_labels.csv,1
DJF_2019,season,DJF,2018-12-01,2019-02-28,deterministic_summary.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2019/deterministic/deterministic/deterministic_summary.csv,1
DJF_2019,season,DJF,2018-12-01,2019-02-28,regime_conditioned_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2019/deterministic/deterministic/regime_conditioned_metrics.csv,1
DJF_2019,season,DJF,2018-12-01,2019-02-28,blocking_rmse.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2019/blocking/blocking/blocking_rmse.csv,1
DJF_2019,season,DJF,2018-12-01,2019-02-28,blocking_event_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2019/blocking/blocking/blocking_event_metrics.csv,1
DJF_2019,season,DJF,2018-12-01,2019-02-28,regime_labels.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2019/regimes/regimes/regime_labels.csv,1
MAM_2019,season,MAM,2019-03-01,2019-05-31,deterministic_summary.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2019/deterministic/deterministic/deterministic_summary.csv,1
MAM_2019,season,MAM,2019-03-01,2019-05-31,regime_conditioned_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2019/deterministic/deterministic/regime_conditioned_metrics.csv,1
MAM_2019,season,MAM,2019-03-01,2019-05-31,blocking_rmse.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2019/blocking/blocking/blocking_rmse.csv,1
MAM_2019,season,MAM,2019-03-01,2019-05-31,blocking_event_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2019/blocking/blocking/blocking_event_metrics.csv,1
MAM_2019,season,MAM,2019-03-01,2019-05-31,regime_labels.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2019/regimes/regimes/regime_labels.csv,1
JJA_2019,season,JJA,2019-06-01,2019-08-31,deterministic_summary.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2019/deterministic/deterministic/deterministic_summary.csv,1
JJA_2019,season,JJA,2019-06-01,2019-08-31,regime_conditioned_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2019/deterministic/deterministic/regime_conditioned_metrics.csv,1
JJA_2019,season,JJA,2019-06-01,2019-08-31,blocking_rmse.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2019/blocking/blocking/blocking_rmse.csv,1
JJA_2019,season,JJA,2019-06-01,2019-08-31,blocking_event_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2019/blocking/blocking/blocking_event_metrics.csv,1
JJA_2019,season,JJA,2019-06-01,2019-08-31,regime_labels.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2019/regimes/regimes/regime_labels.csv,1
SON_2019,season,SON,2019-09-01,2019-11-30,deterministic_summary.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2019/deterministic/deterministic/deterministic_summary.csv,1
SON_2019,season,SON,2019-09-01,2019-11-30,regime_conditioned_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2019/deterministic/deterministic/regime_conditioned_metrics.csv,1
SON_2019,season,SON,2019-09-01,2019-11-30,blocking_rmse.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2019/blocking/blocking/blocking_rmse.csv,1
SON_2019,season,SON,2019-09-01,2019-11-30,blocking_event_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2019/blocking/blocking/blocking_event_metrics.csv,1
SON_2019,season,SON,2019-09-01,2019-11-30,regime_labels.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2019/regimes/regimes/regime_labels.csv,1
DJF_2020,season,DJF,2019-12-01,2020-02-29,deterministic_summary.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2020/deterministic/deterministic/deterministic_summary.csv,1
DJF_2020,season,DJF,2019-12-01,2020-02-29,regime_conditioned_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2020/deterministic/deterministic/regime_conditioned_metrics.csv,1
DJF_2020,season,DJF,2019-12-01,2020-02-29,blocking_rmse.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2020/blocking/blocking/blocking_rmse.csv,1
DJF_2020,season,DJF,2019-12-01,2020-02-29,blocking_event_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2020/blocking/blocking/blocking_event_metrics.csv,1
DJF_2020,season,DJF,2019-12-01,2020-02-29,regime_labels.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2020/regimes/regimes/regime_labels.csv,1
MAM_2020,season,MAM,2020-03-01,2020-05-31,deterministic_summary.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2020/deterministic/deterministic/deterministic_summary.csv,1
MAM_2020,season,MAM,2020-03-01,2020-05-31,regime_conditioned_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2020/deterministic/deterministic/regime_conditioned_metrics.csv,1
MAM_2020,season,MAM,2020-03-01,2020-05-31,blocking_rmse.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2020/blocking/blocking/blocking_rmse.csv,1
MAM_2020,season,MAM,2020-03-01,2020-05-31,blocking_event_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2020/blocking/blocking/blocking_event_metrics.csv,1
MAM_2020,season,MAM,2020-03-01,2020-05-31,regime_labels.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2020/regimes/regimes/regime_labels.csv,1
JJA_2020,season,JJA,2020-06-01,2020-08-31,deterministic_summary.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2020/deterministic/deterministic/deterministic_summary.csv,1
JJA_2020,season,JJA,2020-06-01,2020-08-31,regime_conditioned_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2020/deterministic/deterministic/regime_conditioned_metrics.csv,1
JJA_2020,season,JJA,2020-06-01,2020-08-31,blocking_rmse.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2020/blocking/blocking/blocking_rmse.csv,1
JJA_2020,season,JJA,2020-06-01,2020-08-31,blocking_event_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2020/blocking/blocking/blocking_event_metrics.csv,1
JJA_2020,season,JJA,2020-06-01,2020-08-31,regime_labels.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2020/regimes/regimes/regime_labels.csv,1
SON_2020,season,SON,2020-09-01,2020-11-30,deterministic_summary.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2020/deterministic/deterministic/deterministic_summary.csv,1
SON_2020,season,SON,2020-09-01,2020-11-30,regime_conditioned_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2020/deterministic/deterministic/regime_conditioned_metrics.csv,1
SON_2020,season,SON,2020-09-01,2020-11-30,blocking_rmse.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2020/blocking/blocking/blocking_rmse.csv,1
SON_2020,season,SON,2020-09-01,2020-11-30,blocking_event_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2020/blocking/blocking/blocking_event_metrics.csv,1
SON_2020,season,SON,2020-09-01,2020-11-30,regime_labels.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2020/regimes/regimes/regime_labels.csv,1
DJF_2021,season,DJF,2020-12-01,2021-02-28,deterministic_summary.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2021/deterministic/deterministic/deterministic_summary.csv,1
DJF_2021,season,DJF,2020-12-01,2021-02-28,regime_conditioned_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2021/deterministic/deterministic/regime_conditioned_metrics.csv,1
DJF_2021,season,DJF,2020-12-01,2021-02-28,blocking_rmse.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2021/blocking/blocking/blocking_rmse.csv,1
DJF_2021,season,DJF,2020-12-01,2021-02-28,blocking_event_metrics.csv,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2021/blocking/blocking/blocking_event_metrics.csv,1
